date,region,filled_jobs
2023-06-01,west_coast,14818.0
2023-07-01,auckland,808549.0
2023-07-01,bay_of_plenty,146521.0
2023-07-01,canterbury,311650.0
2023-07-01,gisborne,23089.0
2023-07-01,hawke's_bay,81286.0
2023-07-01,manawatu_whanganui,113791.0
2023-07-01,marlborough,27957.0
2023-07-01,nelson,21038.0
2023-07-01,northland,74097.0
2023-07-01,otago,117877.0
2023-07-01,southland,48128.0
2023-07-01,taranaki,56147.0
2023-07-01,tasman,25924.0
2023-07-01,waikato,227167.0
2023-07-01,wellington,261659.0
2023-07-01,west_coast,14788.0
2023-08-01,auckland,810273.0
